date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:34:57	208/208	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2018%20Oct%202024%2003:34:57%20GMT	https://kasasushi.vn/robots.txt		(from )
10:34:57	48492/48492	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20Oct%202024%2003:34:57%20GMT	https://kasasushi.vn/	D:/study/website/takuronofull/kasasushi.vn/index.html	(from )
10:34:57	2932/2932	---M--	200	added ('OK')	image/png	etag:%22613af55d-b74%22	https://kasasushi.vn/assets/images/favicon.png	D:/study/website/takuronofull/kasasushi.vn/assets/images/favicon.png	(from https://kasasushi.vn/)
10:34:58	354419/354419	---M--	200	added ('OK')	image/jpeg	etag:%226205e173-56873%22	https://kasasushi.vn/assets/images/sponsor-fb.jpg	D:/study/website/takuronofull/kasasushi.vn/assets/images/sponsor-fb.jpg	(from https://kasasushi.vn/)
10:34:58	566189/566189	---MCZ	200	added ('OK')	text/css	etag:W/%2261475352-8a3ad%22	https://kasasushi.vn/assets/css/semantic.min.css?v=202203101700	D:/study/website/takuronofull/kasasushi.vn/assets/css/semantic.min2f36.css	(from https://kasasushi.vn/)
10:34:58	23665/23665	---MCZ	200	added ('OK')	text/css	etag:W/%22613aeba1-5c71%22	https://kasasushi.vn/assets/css/font-awesome.min.css	D:/study/website/takuronofull/kasasushi.vn/assets/css/font-awesome.min.css	(from https://kasasushi.vn/)
10:34:58	2936/2936	---MCZ	200	added ('OK')	text/css	etag:W/%22613aeba1-b78%22	https://kasasushi.vn/assets/css/owl.carousel.min.css	D:/study/website/takuronofull/kasasushi.vn/assets/css/owl.carousel.min.css	(from https://kasasushi.vn/)
10:34:58	1317/1317	---MCZ	200	added ('OK')	text/css	etag:W/%22613aeba0-525%22	https://kasasushi.vn/assets/css/owl.theme.green.css	D:/study/website/takuronofull/kasasushi.vn/assets/css/owl.theme.green.css	(from https://kasasushi.vn/)
10:34:59	15380/15380	---MCZ	200	added ('OK')	text/css	etag:W/%22613aeba0-3c14%22	https://kasasushi.vn/assets/css/sweetalert2.min.css	D:/study/website/takuronofull/kasasushi.vn/assets/css/sweetalert2.min.css	(from https://kasasushi.vn/)
10:34:59	56372/56372	---MCZ	200	added ('OK')	text/css	etag:W/%22613aeba0-dc34%22	https://kasasushi.vn/assets/css/animate.min.css	D:/study/website/takuronofull/kasasushi.vn/assets/css/animate.min.css	(from https://kasasushi.vn/)
10:34:59	3875/3875	---MCZ	200	added ('OK')	text/css	etag:W/%22613aeba1-f23%22	https://kasasushi.vn/assets/css/calendar.css	D:/study/website/takuronofull/kasasushi.vn/assets/css/calendar.css	(from https://kasasushi.vn/)
10:34:59	16264/16264	---MCZ	200	added ('OK')	text/css	etag:W/%2261516e90-3f88%22	https://kasasushi.vn/assets/css/select2.min.css	D:/study/website/takuronofull/kasasushi.vn/assets/css/select2.min.css	(from https://kasasushi.vn/)
10:34:59	22299/22299	---MCZ	200	added ('OK')	text/css	etag:W/%226181c92d-571b%22	https://kasasushi.vn/assets/css/style.css?v=202203101700	D:/study/website/takuronofull/kasasushi.vn/assets/css/style2f36.css	(from https://kasasushi.vn/)
10:35:00	8843/8843	---MCZ	200	added ('OK')	text/css	etag:W/%22620dce19-228b%22	https://kasasushi.vn/assets/css/main.css?v=202203101700	D:/study/website/takuronofull/kasasushi.vn/assets/css/main2f36.css	(from https://kasasushi.vn/)
10:35:00	86709/86709	---MCZ	200	added ('OK')	application/javascript	etag:W/%22613aeba8-152b5%22	https://kasasushi.vn/assets/js/jquery-3.1.1.min.js	D:/study/website/takuronofull/kasasushi.vn/assets/js/jquery-3.1.1.min.js	(from https://kasasushi.vn/)
10:35:00	283536/283536	---MCZ	200	added ('OK')	application/javascript	etag:W/%22613aeba7-45390%22	https://kasasushi.vn/assets/js/semantic.min.js	D:/study/website/takuronofull/kasasushi.vn/assets/js/semantic.min.js	(from https://kasasushi.vn/)
10:35:00	18714/18714	---MCZ	200	added ('OK')	application/javascript	etag:W/%22613aebd1-491a%22	https://kasasushi.vn/assets/js/components/calendar.min.js	D:/study/website/takuronofull/kasasushi.vn/assets/js/components/calendar.min.js	(from https://kasasushi.vn/)
10:35:01	9276/9276	---MCZ	200	added ('OK')	application/javascript	etag:W/%22613aeba6-243c%22	https://kasasushi.vn/assets/js/jquery.sticky.js	D:/study/website/takuronofull/kasasushi.vn/assets/js/jquery.sticky.js	(from https://kasasushi.vn/)
10:35:01	1018/1018	---MCZ	200	added ('OK')	application/javascript	etag:W/%22613aeba8-3fa%22	https://kasasushi.vn/assets/js/jquery.cookie.js	D:/study/website/takuronofull/kasasushi.vn/assets/js/jquery.cookie.js	(from https://kasasushi.vn/)
10:35:01	42766/42766	---MCZ	200	added ('OK')	application/javascript	etag:W/%22613aeba8-a70e%22	https://kasasushi.vn/assets/js/owl.carousel.min.js	D:/study/website/takuronofull/kasasushi.vn/assets/js/owl.carousel.min.js	(from https://kasasushi.vn/)
10:35:01	255262/255262	---MCZ	200	added ('OK')	application/javascript	etag:W/%22613aeba9-3e51e%22	https://kasasushi.vn/assets/js/moment-with-locales.min.js	D:/study/website/takuronofull/kasasushi.vn/assets/js/moment-with-locales.min.js	(from https://kasasushi.vn/)
10:35:01	22639/22639	---MCZ	200	added ('OK')	application/javascript	etag:W/%22613aeba7-586f%22	https://kasasushi.vn/assets/js/sweetalert2.min.js	D:/study/website/takuronofull/kasasushi.vn/assets/js/sweetalert2.min.js	(from https://kasasushi.vn/)
10:35:02	5414/5414	---MCZ	200	added ('OK')	application/javascript	etag:W/%22613aeba7-1526%22	https://kasasushi.vn/assets/js/lazyload.js	D:/study/website/takuronofull/kasasushi.vn/assets/js/lazyload.js	(from https://kasasushi.vn/)
10:35:02	33160/33160	---MCZ	200	added ('OK')	application/javascript	etag:W/%22613aeba6-8188%22	https://kasasushi.vn/assets/js/autoNumeric.min.js	D:/study/website/takuronofull/kasasushi.vn/assets/js/autoNumeric.min.js	(from https://kasasushi.vn/)
10:35:02	25527/25527	---MCZ	200	added ('OK')	application/javascript	etag:W/%22613aeba8-63b7%22	https://kasasushi.vn/assets/js/sticky-sidebar.js	D:/study/website/takuronofull/kasasushi.vn/assets/js/sticky-sidebar.js	(from https://kasasushi.vn/)
10:35:02	73170/73170	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261516e95-11dd2%22	https://kasasushi.vn/assets/js/select2.min.js	D:/study/website/takuronofull/kasasushi.vn/assets/js/select2.min.js	(from https://kasasushi.vn/)
10:35:03	4756/4756	---MCZ	200	added ('OK')	application/javascript	etag:W/%22615d3cb5-1294%22	https://kasasushi.vn/assets/js/main.js?v=202203101700	D:/study/website/takuronofull/kasasushi.vn/assets/js/main2f36.js	(from https://kasasushi.vn/)
10:35:03	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2018%20Oct%202024%2003:35:03%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/study/website/takuronofull/www.googletagmanager.com/gtm.195445.delayed	(from https://kasasushi.vn/)
10:35:03	2479/2479	---M--	200	added ('OK')	image/png	etag:%22613ee2cf-9af%22	https://kasasushi.vn/assets/images/logo-loader.png	D:/study/website/takuronofull/kasasushi.vn/assets/images/logo-loader.png	(from https://kasasushi.vn/)
10:35:03	1304/1304	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226164e68a-518%22	https://kasasushi.vn/assets/images/btn-call.svg	D:/study/website/takuronofull/kasasushi.vn/assets/images/btn-call.svg	(from https://kasasushi.vn/)
10:35:04	565/565	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226164e82c-235%22	https://kasasushi.vn/assets/images/btn-en.svg	D:/study/website/takuronofull/kasasushi.vn/assets/images/btn-en.svg	(from https://kasasushi.vn/)
10:35:04	1272/1272	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22614816bb-4f8%22	https://kasasushi.vn/assets/images/cart-icon.svg	D:/study/website/takuronofull/kasasushi.vn/assets/images/cart-icon.svg	(from https://kasasushi.vn/)
10:35:04	647/647	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22614816bb-287%22	https://kasasushi.vn/assets/images/user-icon.svg	D:/study/website/takuronofull/kasasushi.vn/assets/images/user-icon.svg	(from https://kasasushi.vn/)
10:35:05	50705/50705	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20Oct%202024%2003:35:05%20GMT	https://kasasushi.vn/about-us	D:/study/website/takuronofull/kasasushi.vn/about-us.html	(from https://kasasushi.vn/)
10:35:05	97154/97154	---M--	200	added ('OK')	image/png	etag:%22645c74ff-17b82%22	https://kasasushi.vn/upload/interface/thumbs/logo-trang-chu-1683780863.png	D:/study/website/takuronofull/kasasushi.vn/upload/interface/thumbs/logo-trang-chu-1683780863.png	(from https://kasasushi.vn/)
10:35:05	49809/49809	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20Oct%202024%2003:35:05%20GMT	https://kasasushi.vn/menu	D:/study/website/takuronofull/kasasushi.vn/menu.html	(from https://kasasushi.vn/)
10:35:05	50197/50197	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20Oct%202024%2003:35:06%20GMT	https://kasasushi.vn/news-and-offers	D:/study/website/takuronofull/kasasushi.vn/news-and-offers.html	(from https://kasasushi.vn/)
10:35:06	57738/57738	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20Oct%202024%2003:35:06%20GMT	https://kasasushi.vn/thanh-vien	D:/study/website/takuronofull/kasasushi.vn/thanh-vien.html	(from https://kasasushi.vn/)
10:35:06	268645/268645	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20Oct%202024%2003:35:06%20GMT	https://kasasushi.vn/delivery	D:/study/website/takuronofull/kasasushi.vn/delivery.html	(from https://kasasushi.vn/)
10:35:06	70041/70041	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20Oct%202024%2003:35:06%20GMT	https://kasasushi.vn/booking	D:/study/website/takuronofull/kasasushi.vn/booking.html	(from https://kasasushi.vn/)
10:35:06	77061/77061	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20Oct%202024%2003:35:07%20GMT	https://kasasushi.vn/catering	D:/study/website/takuronofull/kasasushi.vn/catering.html	(from https://kasasushi.vn/)
10:35:07	58878/58878	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20Oct%202024%2003:35:07%20GMT	https://kasasushi.vn/e-invoiced	D:/study/website/takuronofull/kasasushi.vn/e-invoiced.html	(from https://kasasushi.vn/)
10:35:07	3247/3247	---M--	200	added ('OK')	image/png	etag:%226141b0af-caf%22	https://kasasushi.vn/assets/images/logo-mobile.png	D:/study/website/takuronofull/kasasushi.vn/assets/images/logo-mobile.png	(from https://kasasushi.vn/)
10:35:08	4004/4004	---M--	200	added ('OK')	image/png	etag:%22613ee774-fa4%22	https://kasasushi.vn/assets/images/image-placeholder.png	D:/study/website/takuronofull/kasasushi.vn/assets/images/image-placeholder.png	(from https://kasasushi.vn/)
10:35:08	266731/266731	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20Oct%202024%2003:35:08%20GMT	https://kasasushi.vn/dat-hang	D:/study/website/takuronofull/kasasushi.vn/dat-hang.html	(from https://kasasushi.vn/)
10:35:08	945071/945071	---M--	200	added ('OK')	image/jpeg	etag:%22619b98b8-e6baf%22	https://kasasushi.vn/upload/interface/slider-1-1637587128.jpg	D:/study/website/takuronofull/kasasushi.vn/upload/interface/slider-1-1637587128.jpg	(from https://kasasushi.vn/)
10:35:08	50189/50189	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20Oct%202024%2003:35:08%20GMT	https://kasasushi.vn/tin-tuc-uu-dai	D:/study/website/takuronofull/kasasushi.vn/tin-tuc-uu-dai.html	(from https://kasasushi.vn/)
10:35:08	3716/3716	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2261475175-e84%22	https://kasasushi.vn/assets/images/footer-logo.svg	D:/study/website/takuronofull/kasasushi.vn/assets/images/footer-logo.svg	(from https://kasasushi.vn/)
10:35:09	482/482	---M--	200	added ('OK')	image/svg+xml	etag:%226148110c-1e2%22	https://kasasushi.vn/assets/images/close-icon.svg	D:/study/website/takuronofull/kasasushi.vn/assets/images/close-icon.svg	(from https://kasasushi.vn/)
10:35:09	60322/60322	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20Oct%202024%2003:35:09%20GMT	https://kasasushi.vn/dang-ky	D:/study/website/takuronofull/kasasushi.vn/dang-ky.html	(from https://kasasushi.vn/)
10:35:09	1225/1225	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2261486d88-4c9%22	https://kasasushi.vn/assets/images/phone-icon.svg	D:/study/website/takuronofull/kasasushi.vn/assets/images/phone-icon.svg	(from https://kasasushi.vn/)
10:35:09	47256/47256	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20Oct%202024%2003:35:10%20GMT	https://kasasushi.vn/assets/images/flags.png	D:/study/website/takuronofull/kasasushi.vn/assets/images/flags.html	(from https://kasasushi.vn/assets/css/semantic.min.css?v=202203101700)
10:35:10	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22613aebaa-2876e%22	https://kasasushi.vn/assets/fonts/icons.eot	D:/study/website/takuronofull/kasasushi.vn/assets/fonts/icons.eot	(from https://kasasushi.vn/assets/css/semantic.min.css?v=202203101700)
10:35:10	77160/77160	---M--	200	added ('OK')	text/html	etag:%2212d68-5cb9d4e837e91%22	https://kasasushi.vn/assets/fonts/icons.woff2	D:/study/website/takuronofull/kasasushi.vn/assets/fonts/icons.html	(from https://kasasushi.vn/assets/css/semantic.min.css?v=202203101700)
10:35:10	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22613aebaa-2876e%22	https://kasasushi.vn/assets/fonts/icons.eot?	D:/study/website/takuronofull/kasasushi.vn/assets/fonts/iconsd41d.eot	(from https://kasasushi.vn/assets/css/semantic.min.css?v=202203101700)
10:35:10	98024/98024	---M--	200	added ('OK')	font/woff	etag:%22613aebab-17ee8%22	https://kasasushi.vn/assets/fonts/icons.woff	D:/study/website/takuronofull/kasasushi.vn/assets/fonts/icons.woff	(from https://kasasushi.vn/assets/css/semantic.min.css?v=202203101700)
10:35:11	165548/165548	---M--	200	added ('OK')	application/octet-stream	etag:%22613aebac-286ac%22	https://kasasushi.vn/assets/fonts/icons.ttf	D:/study/website/takuronofull/kasasushi.vn/assets/fonts/icons.ttf	(from https://kasasushi.vn/assets/css/semantic.min.css?v=202203101700)
